,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
259,Inta,100,RU,1569372470,96,66.04,60.13,35.05,17.31
260,Yulara,72,AU,1569372471,67,-25.24,130.99,57.2,16.11
261,Oranjemund,0,ZA,1569372472,50,-28.55,16.43,64.57,18.03
262,Presidencia Roque Saenz Pena,0,AR,1569372474,57,-26.79,-60.44,68.89,6.58
263,Pevek,100,RU,1569372475,94,69.7,170.27,34.32,11.68
264,Kuloy,99,RU,1569372477,92,61.03,42.49,34.87,5.53
265,Dumai,51,ID,1569372478,94,1.68,101.45,74.82,1.39
266,Quatre Cocos,75,MU,1569372479,88,-20.21,57.76,71.6,12.75
267,Shache,0,CN,1569372481,71,38.42,77.24,64.99,3.2
268,Mao,90,DO,1569372482,100,19.55,-71.08,77.0,5.82
269,Svetlogorsk,75,RU,1569372483,86,53.14,59.15,30.2,11.18
270,Hasaki,20,JP,1569372485,69,35.73,140.83,78.01,9.17
271,Ashdod,20,IL,1569372486,73,31.8,34.65,71.6,3.36
272,Barhi,75,IN,1569372487,94,24.31,85.42,77.0,9.17
273,Altamont,20,CA,1569372489,100,49.4,-98.5,55.4,5.82
274,Fort Saint James,95,CA,1569372490,50,54.43,-124.25,54.12,14.07
275,Puma,31,TZ,1569372491,64,-5.0,34.76,64.75,13.87
276,Monchegorsk,100,RU,1569372493,99,67.94,32.93,33.79,5.39
277,Iquique,90,CL,1569372450,77,-20.22,-70.14,60.8,9.17
278,Mayumba,98,GA,1569372495,89,-3.44,10.65,76.62,14.16
279,Kade,68,GH,1569372496,99,6.1,-0.84,72.85,2.39
280,Richards Bay,64,ZA,1569372498,66,-28.77,32.06,66.01,40.42
281,Tamiahua,48,MX,1569372499,76,21.28,-97.45,83.11,8.88
282,Meadow Lake,75,CA,1569372500,54,54.13,-108.44,53.6,10.29
283,Tura,29,RU,1569372502,88,64.27,100.22,36.49,9.31
284,Tilichiki,100,RU,1569372503,94,60.47,166.1,37.75,12.75
285,Faanui,54,PF,1569372504,76,-16.48,-151.75,79.87,20.13
286,Aksu,0,KZ,1569372506,100,52.04,76.93,28.4,4.47
287,Mugumu,72,TZ,1569372508,59,-1.84,34.67,68.89,3.42
288,Ahipara,58,NZ,1569372509,72,-35.17,173.16,57.55,29.21
289,Saint-Denis,0,FR,1569372511,82,48.94,2.36,57.99,12.75
290,Rocha,0,UY,1569372512,83,-34.48,-54.34,53.41,2.75
291,Bilma,0,NE,1569372383,12,18.69,12.92,85.09,3.98
292,Boende,100,CD,1569372515,93,-0.28,20.88,72.85,3.15
293,Khani,0,GE,1569372516,77,41.96,42.96,60.8,8.05
294,Gamba,86,CN,1569372517,51,28.28,88.52,36.49,2.59
295,Jeremie,100,HT,1569372519,81,18.65,-74.12,80.59,8.84
296,Los Lunas,1,US,1569372411,27,34.81,-106.76,79.0,8.05
297,Zaidpur,75,IN,1569372521,94,26.83,81.33,78.8,6.93
298,Kardamaina,40,GR,1569372523,94,36.78,27.14,71.6,10.29
299,Olinda,90,AU,1569372524,71,-37.84,145.39,60.01,8.05
300,Half Moon Bay,1,US,1569372525,17,37.46,-122.43,91.4,19.46
301,Nieuw Amsterdam,20,SR,1569372526,74,5.88,-55.08,84.2,9.17
302,High Rock,84,BS,1569372528,71,26.63,-78.28,78.79,12.3
303,Pervomayskiy,0,RU,1569372529,84,53.24,40.29,34.69,5.26
304,Geraldton,90,CA,1569372530,67,49.72,-86.95,60.8,16.11
305,Kavaratti,100,IN,1569372532,78,10.57,72.64,81.12,14.2
306,Shamgarh,11,IN,1569372533,93,24.18,75.63,74.82,12.55
307,Coxim,35,BR,1569372534,41,-18.5,-54.75,86.52,4.45
308,Doha,20,QA,1569372535,79,25.29,51.53,89.6,6.93
309,Georgetown,40,GY,1569372441,74,6.8,-58.16,84.2,11.41
310,Tiksi,59,RU,1569372538,82,71.64,128.87,35.59,13.22
311,Puerto El Triunfo,40,SV,1569372539,83,13.27,-88.55,82.4,6.93
312,Tual,63,ID,1569372541,82,-5.67,132.75,78.07,18.34
313,San Cristobal,79,HN,1569372542,84,14.68,-86.92,73.39,2.26
314,Melilla,75,EC,1569372543,83,-0.8,-80.23,73.4,11.41
315,Quelimane,20,MZ,1569372545,88,-17.88,36.89,73.4,5.82
316,Prince Rupert,90,CA,1569372546,87,54.32,-130.32,55.4,8.05
317,Xining,36,CN,1569372547,66,36.62,101.77,40.81,1.12
318,Nalut,15,LY,1569372549,85,31.86,10.98,71.05,8.93
319,Sao Joao da Barra,76,BR,1569372550,71,-21.64,-41.05,65.65,4.92
320,Geilo,100,NO,1569372551,86,60.53,8.21,42.01,3.62
321,Chancay,90,PE,1569372553,88,-11.56,-77.27,62.6,12.75
322,Neiafu,20,TO,1569372554,54,-18.65,-173.98,80.6,5.82
323,Tongzhou,100,CN,1569372555,73,32.07,121.07,75.99,3.6
324,Porto-Vecchio,90,FR,1569372377,60,41.59,9.28,73.4,10.29
325,Port Blair,94,IN,1569372558,74,11.67,92.75,82.21,5.21
326,Zhangye,0,CN,1569372559,33,38.94,100.46,54.85,5.14
327,Stokmarknes,60,NO,1569372561,79,68.56,14.91,44.01,3.0
328,Plettenberg Bay,1,ZA,1569372562,91,-34.05,23.37,49.09,5.39
329,Victoria,75,BN,1569372304,55,5.28,115.24,87.8,10.29
330,Porbandar,22,IN,1569372564,81,21.64,69.61,82.02,13.35
331,Gibara,20,CU,1569372566,94,21.11,-76.13,77.0,4.7
332,North Adams,90,US,1569372567,93,42.7,-73.11,62.6,4.7
333,Preobrazheniye,0,RU,1569372568,39,42.9,133.91,55.92,6.51
334,Murray Bridge,0,AU,1569372570,77,-35.12,139.28,62.01,1.99
335,Carlsbad,0,CZ,1569372571,93,50.23,12.87,55.99,3.36
336,Nongpoh,90,IN,1569372572,100,25.9,91.88,75.2,4.7
337,Quimper,90,FR,1569372574,93,48.0,-4.1,61.0,12.75
338,Samarai,84,PG,1569372575,79,-10.62,150.67,78.07,9.64
339,Catuday,45,PH,1569372576,81,16.29,119.81,81.85,8.79
340,Sept-Iles,75,CA,1569372505,75,50.2,-66.38,46.99,5.82
341,Biltine,53,TD,1569372579,29,14.53,20.93,89.41,3.67
342,Howard Springs,40,AU,1569372580,62,-12.5,131.05,87.01,2.24
343,Esperance,52,AU,1569372582,36,-33.86,121.89,62.6,13.87
344,Lazaro Cardenas,40,MX,1569372583,48,28.39,-105.62,82.4,11.41
345,Lulea,19,SE,1569372584,94,65.58,22.15,35.6,3.36
346,Romodanovo,10,RU,1569372586,92,54.42,45.33,31.27,6.98
347,Marawi,27,PH,1569372587,68,8.0,124.29,84.0,1.01
348,Ziro,100,IN,1569372588,98,27.54,93.82,55.39,1.88
349,Gambo,100,CF,1569372590,97,4.65,22.26,70.51,2.21
350,Praia,0,BR,1569372591,52,-20.25,-43.81,69.8,17.22
351,Goundam,35,ML,1569372592,12,16.42,-3.66,95.89,7.02
352,Comrat,0,MD,1569372594,93,46.3,28.66,53.05,4.59
353,Ginir,100,ET,1569372595,81,7.14,40.71,62.05,3.11
354,Mosquera,75,CO,1569372596,82,4.71,-74.23,57.2,4.7
355,Kawalu,27,ID,1569372598,83,-7.38,108.21,69.42,4.43
356,Hualmay,69,PE,1569372459,94,-11.1,-77.61,61.69,13.18
357,Wajir,0,KE,1569372600,59,1.75,40.07,76.62,15.28
358,Nanortalik,78,GL,1569372602,77,60.14,-45.24,42.25,1.39
359,Karratha,84,AU,1569372603,36,-20.74,116.85,76.62,11.68
360,Uchiza,93,PE,1569372604,83,-8.46,-76.46,67.45,4.99
361,Yatou,75,CM,1569372606,100,3.63,9.81,75.2,3.36
362,Ucluelet,40,CA,1569372388,77,48.94,-125.55,64.0,16.11
363,Paamiut,100,GL,1569372612,88,61.99,-49.67,40.62,30.36
364,Ayan,0,IR,1569372613,21,38.23,44.7,46.75,5.77
365,Dharchula,65,IN,1569372614,84,29.85,80.53,47.65,1.88
366,Shingu,40,JP,1569372615,64,33.72,135.99,75.2,2.24
367,Laguna,40,BZ,1569372617,74,16.17,-88.94,87.8,4.7
368,Manono,100,CD,1569372618,72,-7.3,27.4,74.65,4.41
369,Longyearbyen,75,NO,1569372619,86,78.22,15.63,37.4,6.93
370,Lircay,5,PE,1569372621,80,-12.99,-74.72,38.65,9.57
371,Guadix,0,ES,1569372622,71,37.3,-3.14,66.0,2.24
372,Anadyr,20,RU,1569372623,64,64.73,177.51,39.2,11.18
373,Svetlaya,0,RU,1569372624,41,46.54,138.33,48.91,9.4
374,Dale,58,CN,1569372626,60,24.09,109.99,70.69,5.14
375,Pisco,0,PE,1569372627,82,-13.71,-76.2,63.0,11.41
376,Boali,20,CF,1569372628,94,4.81,18.11,75.2,4.05
377,Byron Bay,75,AU,1569372630,68,-28.65,153.62,75.0,10.29
378,Snezhnogorsk,40,RU,1569372631,80,69.19,33.23,39.2,4.47
379,Chimoio,75,MZ,1569372633,93,-19.11,33.48,66.2,4.09
380,Wucheng,22,CN,1569372634,60,29.09,119.57,68.17,1.59
381,Tres Arroyos,0,AR,1569372635,54,-38.38,-60.28,55.57,2.62
382,Chingola,0,ZM,1569372637,46,-12.55,27.86,61.15,6.02
383,Alta Floresta,77,BR,1569372638,93,-9.87,-56.08,71.05,5.21
384,Tibati,100,CM,1569372639,94,6.47,12.63,66.72,3.15
385,Pemba,40,MZ,1569372641,94,-12.97,40.52,75.2,8.05
386,Novo Aripuana,87,BR,1569372642,62,-5.12,-60.38,81.49,2.42
387,Tenkodogo,50,BF,1569372644,78,11.78,-0.37,79.87,9.53
388,Brae,99,GB,1569372645,93,60.4,-1.35,53.6,25.28
389,Betare Oya,86,CM,1569372646,96,5.6,14.08,67.99,2.06
390,Kiama,75,AU,1569372648,59,-34.67,150.86,61.0,5.82
391,Coari,100,BR,1569372649,74,-4.09,-63.14,80.22,2.98
392,Ostrovnoy,95,RU,1569372650,92,68.05,39.51,36.85,11.3
393,Karpathos,61,GR,1569372651,88,35.51,27.21,75.2,9.17
394,Aldan,100,RU,1569372653,87,58.61,125.39,34.32,4.29
395,Siocon,75,PH,1569372654,78,11.03,124.04,82.21,5.93
396,Puerto Asis,84,CO,1569372655,90,0.51,-76.5,74.11,0.65
397,Soyo,100,AO,1569372657,86,-6.13,12.37,75.72,8.9
398,Lorengau,80,PG,1569372658,68,-2.02,147.27,84.55,7.76
399,Nishihara,40,JP,1569372659,73,35.74,139.53,81.0,11.41
400,Sur,15,OM,1569372661,79,22.57,59.53,77.35,7.16
401,Mayo,20,CA,1569372662,61,63.59,-135.9,48.2,3.36
402,Galle,100,GN,1569372663,98,10.08,-12.83,71.59,2.3
403,Tabora,78,TZ,1569372665,47,-5.02,32.81,71.05,8.23
404,Nuuk,90,GL,1569372666,93,64.17,-51.74,39.2,4.7
405,Boralday,75,KZ,1569372667,71,43.36,76.86,53.6,4.47
406,Tautira,75,PF,1569372669,58,-17.73,-149.15,86.0,6.93
407,Lashio,78,MM,1569372670,97,22.93,97.75,64.75,0.98
408,Stephenville,90,CA,1569372657,87,48.55,-58.59,53.6,14.99
409,Hay River,75,CA,1569372673,66,60.82,-115.79,51.8,3.36
410,Manokwari,57,ID,1569372445,70,-0.87,134.08,78.79,4.05
411,Aquin,100,HT,1569372675,92,18.28,-73.39,76.99,4.36
412,Umm Kaddadah,49,SD,1569372676,30,13.6,26.69,88.87,13.24
413,Coffeyville,1,US,1569372678,88,37.04,-95.62,75.2,9.17
414,Safford,20,US,1569372679,82,32.83,-109.71,68.0,10.29
415,Pangody,97,RU,1569372681,87,65.85,74.49,36.49,19.33
416,Naze,100,NG,1569372682,92,5.43,7.07,74.65,4.34
417,Sambava,100,MG,1569372683,97,-14.27,50.17,66.19,2.39
418,Itoman,75,JP,1569372685,83,26.12,127.67,78.8,10.29
419,Alekseyevka,40,RU,1569372686,86,53.25,50.49,39.2,2.24
420,Lagoa,0,PT,1569372687,78,37.14,-8.45,72.0,5.82
421,Markova,0,RU,1569372689,100,52.21,104.21,50.0,2.24
422,Angoche,21,MZ,1569372690,89,-16.23,39.91,72.49,5.84
423,Kloulklubed,75,PW,1569372692,74,7.04,134.26,86.0,10.29
424,Mantua,0,IT,1569372693,87,45.16,10.79,64.0,2.24
425,Port Hawkesbury,90,CA,1569372698,100,45.62,-61.36,63.0,6.93
426,Verkhnyaya Inta,100,RU,1569372699,96,65.99,60.32,35.05,17.31
427,Zhanakorgan,0,KZ,1569372701,43,43.91,67.25,57.55,12.88
428,Rognedino,0,RU,1569372702,90,53.8,33.56,32.52,2.53
429,Roros,40,NO,1569372703,100,62.57,11.38,33.8,2.24
430,Yala,20,TH,1569372704,94,6.54,101.28,77.0,4.7
431,Bambanglipuro,29,ID,1569372706,85,-7.95,110.28,75.91,11.92
432,Yanji,0,CN,1569372707,55,42.89,129.5,55.92,2.1
433,Wembley,75,CA,1569372708,54,55.15,-119.14,53.6,18.34
434,Ruzhyn,83,UA,1569372710,44,49.72,29.2,50.35,6.91
435,Sarakhs,0,TM,1569372712,34,36.54,61.16,59.52,1.39
436,Salto,0,BR,1569372713,68,-23.2,-47.29,69.01,16.11
437,Mizan Teferi,100,ET,1569372715,97,6.99,35.58,62.22,4.47
438,Kamariotissa,75,GR,1569372716,88,40.48,25.47,66.2,8.05
439,Lengshuitan,15,CN,1569372717,51,26.41,111.6,70.51,0.07
440,Palauig,31,PH,1569372719,78,15.44,119.9,82.21,3.29
441,Cidreira,0,BR,1569372720,90,-30.17,-50.22,60.42,7.96
442,Harper,1,US,1569372721,42,30.3,-99.24,86.0,5.82
443,Haradok,0,BY,1569372723,80,55.46,29.99,34.69,0.85
444,Teknaf,100,BD,1569372724,74,20.86,92.31,81.67,7.07
445,The Valley,20,AI,1569372601,83,18.22,-63.06,82.4,4.7
446,Bani Walid,0,LY,1569372727,83,31.76,14.0,66.72,1.7
447,Lensk,74,RU,1569372728,90,60.71,114.91,40.99,7.14
448,Ejido,92,VE,1569372729,89,8.55,-71.24,67.99,1.83
449,Itarema,74,BR,1569372731,76,-2.92,-39.92,77.17,10.71
450,Dwarka,40,IN,1569372732,88,28.58,77.04,82.0,3.36
451,Atagay,30,RU,1569372733,93,55.1,99.39,50.35,1.28
452,Altay,82,CN,1569372735,45,47.83,88.13,51.25,1.57
453,Fengzhen,0,CN,1569372736,44,40.43,113.15,61.15,1.23
454,Huilong,75,CN,1569372737,82,31.15,106.5,64.92,2.04
455,Kudahuvadhoo,100,MV,1569372739,76,2.67,72.89,79.87,7.83
456,Kaitangata,95,NZ,1569372741,68,-46.28,169.85,43.0,17.0
457,Dubbo,38,AU,1569372607,40,-32.25,148.6,62.6,10.29
458,Quang Ngai,62,VN,1569372743,91,15.12,108.8,72.49,1.99
459,Paramonga,80,PE,1569372744,94,-10.68,-77.82,60.79,12.03
460,Kalutara,40,LK,1569372746,94,6.58,79.96,75.2,5.82
461,Maralal,28,KE,1569372747,73,1.1,36.7,63.85,8.16
462,Poso,81,ID,1569372749,63,-1.4,120.75,70.69,3.04
463,Brawley,40,US,1569372750,17,32.98,-115.53,95.0,6.93
464,Rondonopolis,81,BR,1569372751,41,-16.46,-54.64,86.71,2.57
465,Cortez,1,US,1569372752,35,37.35,-108.58,73.4,11.41
466,Kununurra,40,AU,1569372754,19,-15.77,128.74,80.6,11.41
467,Guanica,75,PR,1569372755,88,17.97,-66.91,82.99,13.87
468,Pitea,33,SE,1569372756,92,65.32,21.48,35.6,3.36
469,Batagay-Alyta,56,RU,1569372758,87,67.8,130.41,21.55,1.21
470,Puerto Madryn,1,AR,1569372759,44,-42.77,-65.04,63.67,6.62
471,Namibe,81,AO,1569372657,91,-15.19,12.15,68.89,3.58
472,Dawlatabad,0,AF,1569372761,43,36.41,64.91,59.52,1.1
473,Muyezerskiy,86,RU,1569372763,91,63.93,31.65,29.11,4.63
474,Evanston,1,US,1569372586,60,42.04,-87.69,73.99,6.93
475,Junin,0,PE,1569372765,33,-16.45,-71.58,57.2,2.24
476,Bizhbulyak,61,RU,1569372767,90,53.69,54.27,31.99,7.54
477,Ixtapa,40,MX,1569372768,75,20.71,-105.21,89.6,8.05
478,Vila,0,IT,1569372770,100,45.18,8.4,61.0,4.7
479,Forest,1,US,1569372598,78,32.36,-89.47,84.2,1.77
480,Srednekolymsk,0,RU,1569372772,53,67.46,153.71,33.42,10.47
481,Ayna,0,ES,1569372773,76,38.55,-2.07,57.99,5.06
482,Caravelas,60,BR,1569372775,75,-17.73,-39.27,71.59,12.03
483,Olbia,0,IT,1569372776,78,40.92,9.49,71.6,17.22
484,Yumen,0,CN,1569372777,25,40.29,97.04,59.17,8.28
485,Yairipok,100,IN,1569372779,98,24.67,94.07,65.29,1.61
486,Melnikovo,19,RU,1569372780,82,56.55,84.09,39.0,1.99
487,Leningradskiy,100,RU,1569372724,97,69.38,178.42,34.69,8.16
488,Poya,100,NC,1569372783,74,-21.35,165.16,69.42,21.54
489,Kagoro,100,NG,1569372784,96,9.6,8.38,69.42,1.25
490,Sergeyevka,25,KZ,1569372785,83,53.88,67.42,35.59,10.45
491,Kasongo-Lunda,98,CD,1569372786,94,-6.48,16.82,66.01,5.21
492,Penzance,100,GB,1569372788,100,50.12,-5.53,60.01,20.8
493,Moree,71,AU,1569372789,19,-29.46,149.84,66.2,4.7
494,Muroto,75,JP,1569372791,54,33.37,134.14,78.8,8.05
495,Miri,51,NG,1569372792,66,10.31,9.75,74.11,4.34
496,Mongo,81,CD,1569372793,75,-5.62,14.6,74.65,7.23
497,Bone,0,DE,1569372795,77,51.97,12.14,60.01,8.05
498,Sibut,100,CF,1569372796,88,5.73,19.09,71.05,2.71
499,Kitab,0,UZ,1569372797,48,39.12,66.88,62.6,9.17
500,Charleston,1,US,1569372780,88,32.79,-79.94,80.6,2.59
501,La Baule-Escoublac,57,FR,1569372800,87,47.28,-2.4,63.0,16.11
502,Coswig,0,DE,1569372801,93,51.13,13.58,59.0,5.82
503,Ambulu,91,ID,1569372803,89,-8.35,113.61,73.02,3.51
504,Baghmara,100,IN,1569372804,95,23.8,86.21,73.39,8.79
505,Klaksvik,100,FO,1569372806,100,62.23,-6.59,51.8,18.34
506,Katherine,0,AU,1569372807,35,-14.47,132.26,86.0,14.99
507,Port Moresby,75,PG,1569372808,74,-9.47,147.16,82.4,5.82
508,Otane,3,NZ,1569372809,80,-39.89,176.62,51.01,11.99
509,Tiznit,1,MA,1569372798,88,29.7,-9.73,68.35,3.76
510,Goderich,0,CA,1569372812,84,43.74,-81.71,59.0,4.0
511,Murgab,75,TM,1569372813,51,37.5,61.97,62.6,4.7
512,Nijar,0,ES,1569372709,82,36.97,-2.21,71.01,1.12
513,Villaviciosa,20,ES,1569372816,67,43.48,-5.43,68.0,6.93
514,Roald,0,NO,1569372817,93,62.58,6.12,51.8,3.36
515,Ekhabi,100,RU,1569372819,80,53.51,142.97,45.67,41.72
516,Akdagmadeni,4,TR,1569372820,32,39.66,35.88,58.09,3.06
517,Pishin,0,PK,1569372821,60,30.58,67.0,64.75,3.42
518,Camacha,40,PT,1569372823,88,33.08,-16.33,75.2,4.7
519,Luganville,75,VU,1569372824,65,-15.51,167.18,80.6,8.05
520,Cuamba,0,MZ,1569372825,77,-14.8,36.54,65.47,4.81
521,Changji,100,CN,1569372827,43,32.07,116.17,74.47,2.86
522,Erenhot,0,CN,1569372828,27,43.65,111.97,63.67,8.21
